customer_name,customer_id,end_user,address_a,address_b,postal_city_a,postal_city_b,postal_code_a,postal_code_b,country_a,country_b,process_step,order_ref,product_group,product_name,original_process_step,tech,status,system,circuit_id,reg_date,plan_done_date,clean_order_date,agreed_date,sent_OB,agreed_installation_date,FM_date,finalize_access_date,latest_agreed_date,order_counter,last_update_timestamp
VAKUUM SERVICE AS,11087396,VAKUUM SERVICE AS,158053349,,NORDKISA,,2055,,,,Delivered,5503380,Internet,Internett Bedrift VDSL2 opptil 40/10 Mbps (ws),,DSL,COMPLETED,LSD,63455883,31.03.2016,02.05.2016,02.05.2016,11.05.2016,05.04.2016,02.05.2016,11.05.2016,11.05.2016,11.05.2016,1,31.05.2016 08:23:10
DGC Systems Access,201790,Glitter AS,237738171,92260277,KORNSJØ,LILLESTRØM,1796,2000,,,Delivered,5503407,Ethernet,Ethernet Access 2048 Pluss,,DSL,COMPLETED,LSD,32748543,01.04.2016,20.05.2016,05.04.2016,04.05.2016,07.04.2016,20.05.2016,23.05.2016,23.05.2016,31.05.2016,1,31.05.2016 08:23:10
Læringsverkstedet AS,131,Læringsverkstedet AS,,,TJØME,,3145,,NO,,Delivered,398258,Internet,Internett Bedrift SHDSL 8 Mbps (ws),,DSL,COMPLETED,LSD,63455928,04.04.2016,12.05.2016,12.05.2016,10.05.2016,05.04.2016,13.05.2016,12.05.2016,12.05.2016,25.05.2016,1,31.05.2016 08:23:10
Læringsverkstedet AS,131,Læringsverkstedet AS,219135160,,TVEIT,,4658,,NO,,Planning,398261,Internet,Internett Bedrift SHDSL 8 Mbps (ws),plan & design,DSL,IN_PROGRESS,LSD,63455931,04.04.2016,,,10.05.2016,05.04.2016,13.05.2016,,,25.05.2016,1,31.05.2016 08:23:10
Kvantel AS,201839,Vita Røa 1148 CLA,,,OSLO,OSLO,0581,0751,,,Delivered,5503449,Ethernet,Ethernet Access 2048 Pluss,,DSL,COMPLETED,LSD,32748364,07.04.2016,13.05.2016,13.05.2016,25.05.2016,08.04.2016,13.05.2016,23.05.2016,23.05.2016,25.05.2016,1,31.05.2016 08:23:10
DEN NORSKE ISRAELSMISJON,16185,DEN NORSKE ISRAELSMISJON,256840598,,BERGEN,,5054,,,,Delivered,399290,Internet,Internett Bedrift VDSL2 opptil 25/5 Mbps (OA),,DSL,COMPLETED,LSD,32746787,11.04.2016,04.05.2016,04.05.2016,18.05.2016,25.04.2016,06.05.2016,11.05.2016,11.05.2016,18.05.2016,1,31.05.2016 08:23:10
LILLESTRØM KIROPRAKTOR SENTER AS,272844,LILLESTRØM KIROPRAKTOR SENTER AS,158057741,,KLØFTA,,2040,,,,Delivered,399294,Internet,Internett Bedrift VDSL2 opptil 40/10 Mbps (OA),,DSL,COMPLETED,LSD,32748121,11.04.2016,29.04.2016,29.04.2016,28.04.2016,11.04.2016,27.04.2016,11.05.2016,11.05.2016,06.05.2016,1,31.05.2016 08:23:10
PowerTech Information Systems,100032,Human Etisk Forbund,285785878,256945870,OSLO,BERGEN,0581,5012,,,Delivered,5503488,Ethernet,Ethernet Access 2048 Pluss,,DSL,COMPLETED,LSD,,11.04.2016,,,11.05.2016,,02.05.2016,11.05.2016,11.05.2016,11.05.2016,1,31.05.2016 08:23:10
RIIS MONTASJE AS,232809,Riis Montasje,,,SKJETTEN,,2013,,NO,,Delivered,399362,Internet,Internett Bedrift SHDSL 12 Mbps (oa3),,DSL,COMPLETED,LSD,32748018,12.04.2016,18.05.2016,18.05.2016,27.05.2016,12.04.2016,18.05.2016,20.05.2016,20.05.2016,27.05.2016,1,31.05.2016 08:23:10
Lopex Mottak AS,104,Lopex Mottak AS,,,KAUPANGER,,6854,,NO,,Delivered,399417,Internet,Internett Bedrift ADSL 2+ opptil 12000/700 kbps (ws),,DSL,COMPLETED,LSD,63453602,12.04.2016,09.05.2016,13.04.2016,19.05.2016,13.04.2016,09.05.2016,11.05.2016,11.05.2016,19.05.2016,1,31.05.2016 08:23:10
NEW AGRA AS,273187,NEW AGRA AS,41779819,,SKIEN,,3717,,,,Delivered,400253,Internet,Internett Bedrift VDSL2 opptil 40/10 Mbps (OA),,DSL,COMPLETED,LSD,32745101,20.04.2016,23.05.2016,25.04.2016,01.06.2016,11.05.2016,23.05.2016,24.05.2016,24.05.2016,01.06.2016,1,31.05.2016 08:23:10
Kvantel AS,201839,Vita Exclusive Årnes 1224 AIO,,,OSLO,ÅRNES,0581,2150,,,Delivered,5503592,Ethernet,Ethernet Access 2048 Pluss,,DSL,COMPLETED,LSD,32747098,20.04.2016,20.05.2016,20.05.2016,01.06.2016,21.04.2016,23.05.2016,23.05.2016,23.05.2016,01.06.2016,1,31.05.2016 08:23:10
MIKO SØGNE AS,273429,MIKO SØGNE AS,215545466,,SØGNE,,4640,,,,In Execution,400911,Internet,Internett Bedrift ADSL 2048/448 kbps (ws),finalize access,DSL,IN_PROGRESS,LSD,63450573,26.04.2016,,26.04.2016,27.05.2016,27.05.2016,18.05.2016,,,27.05.2016,1,31.05.2016 08:23:10
SUN2 SØR AS,273510,SUN2 SØR AS,269221548,,GRIMSTAD,,4879,,,,Delivered,401133,Internet,Internett Bedrift ADSL2200/512 (oa),,DSL,COMPLETED,LSD,32746337,28.04.2016,20.05.2016,28.04.2016,25.05.2016,28.04.2016,20.05.2016,23.05.2016,23.05.2016,31.05.2016,1,31.05.2016 08:23:10
Clear Channel Norway AS,214266,Amfi Eidsvoll,160683222,,RÅHOLT,,2070,,,,In Execution,5503736,Internet,Internett Bedrift ADSL 2+ (oa),finalize access,DSL,IN_PROGRESS,LSD,32746322,28.04.2016,,,25.05.2016,28.04.2016,13.05.2016,,,25.05.2016,1,31.05.2016 08:23:10
Kvantel AS,201839,Kvantel AS,285793443,285756508,OSLO,OSLO,0581,0356,,,In Execution,5503679,Ethernet,Ethernet Access 2048 Pluss,finalize access,DSL,IN_PROGRESS,LSD,32746320,28.04.2016,,28.04.2016,27.05.2016,28.04.2016,18.05.2016,,,27.05.2016,1,31.05.2016 08:23:10
SKI INTERIØR AS,273704,Ski Interiør AS,124209562,,SKI,,1400,,,,Delivered,5503812,Internet,Internett Bedrift ADSL 2+ (oa),,DSL,COMPLETED,LSD,32745556,03.05.2016,20.05.2016,06.05.2016,31.05.2016,09.05.2016,20.05.2016,20.05.2016,20.05.2016,31.05.2016,1,31.05.2016 08:23:10
HUSMAKERIET AS,273717,Husmakeriet AS,,,HØNEFOSS,,3511,,,,Delivered,5503826,Internet,Internett Bedrift VDSL2 opptil 25/5 Mbps (ws),,DSL,COMPLETED,LSD,63498152,03.05.2016,20.05.2016,06.05.2016,30.05.2016,06.05.2016,19.05.2016,20.05.2016,20.05.2016,30.05.2016,1,31.05.2016 08:23:10
IT Kompaniet AS,11508580,Lars Mazarino,62910083,,ASKER,,1383,,,,In Execution,5503849,Internet,Internett Bedrift ADSL 2+ (oa),finalize access,DSL,IN_PROGRESS,LSD,32745598,04.05.2016,,06.05.2016,31.05.2016,06.05.2016,20.05.2016,,,31.05.2016,1,31.05.2016 08:23:10
SCAN PRO IDE & DESIGN AS,273749,SCAN PRO IDE & DESIGN AS,,,LARVIK,,3274,,,,Delivered,5503838,Internet,Internett Bedrift SHDSL 12 Mbps (oa3),,DSL,COMPLETED,LSD,32745530,06.05.2016,19.05.2016,19.05.2016,30.05.2016,09.05.2016,19.05.2016,20.05.2016,20.05.2016,30.05.2016,1,31.05.2016 08:23:10
Clear Channel Norway AS,214266,Amfi Kragerø (Clear Channel),81908795,,SANNIDAL,,3766,,,,Finalizing,5503855,Internet,Internett Bedrift ADSL 2+ opptil 16000/700 kbps (ws),complete order,DSL,IN_PROGRESS,LSD,63497932,06.05.2016,26.05.2016,09.05.2016,06.06.2016,09.05.2016,26.05.2016,,,06.06.2016,1,31.05.2016 08:23:10
Basis Consulting AS,201618,Basis Consulting AS,285785878,,OSLO,,0581,,NO,,Finalizing,403127,Internet,Internett Bedrift ADSL 2+ (oa),complete order,DSL,IN_PROGRESS,LSD,32745496,09.05.2016,30.05.2016,09.05.2016,08.06.2016,09.05.2016,30.05.2016,,,08.06.2016,1,31.05.2016 08:23:10
STIG NYSTRØM,273917,STIG NYSTRØM,59989825,,ASKIM,,1811,,NO,,In Execution,403413,Internet,Internett Bedrift ADSL2200/512 (oa),finalize access,DSL,IN_PROGRESS,LSD,32745079,10.05.2016,,11.05.2016,10.06.2016,12.05.2016,01.06.2016,,,10.06.2016,1,31.05.2016 08:23:10
STIG NYSTRØM,273917,STIG NYSTRØM,65784548,,SPYDEBERG,,1820,,NO,,Planning,403419,Internet,Internett Bedrift ADSL 2048/448 kbps (ws),plan & design,DSL,IN_PROGRESS,LSD,,10.05.2016,,11.05.2016,,,,,,,1,31.05.2016 08:23:10
The Cloud Networks Nordic AB,200290,Joe & The Juice - Nydalen,285745174,,OSLO,,0484,,,,Validation,5503927,Internet,Internett Bedrift VDSL2 opptil 25/5 Mbps (ws),validate & disp.,DSL,IN_PROGRESS,LSD,,16.05.2016,,18.05.2016,,,,,,,1,31.05.2016 08:23:10
BARTLEBY CORP. AS,274216,BARTLEBY CORP. AS,133206977,,DRAMMEN,,3044,,,,Planning,404041,Internet,Internett Bedrift SHDSL 20 Mbps (oa5),plan & design,DSL,IN_PROGRESS,LSD,32744551,18.05.2016,,,21.06.2016,20.05.2016,10.06.2016,,,21.06.2016,1,31.05.2016 08:23:10
T.M BYGG AS,274217,T.M BYGG AS,66403248,,HAUGESUND,,5515,,,,In Execution,404043,Internet,Internett Bedrift VDSL2 opptil 40/10 Mbps (OA),finalize access,DSL,IN_PROGRESS,LSD,32744594,18.05.2016,,,10.08.2016,19.05.2016,01.08.2016,,,10.08.2016,1,31.05.2016 08:23:10
Norsk Luthersk Misjonssamband,11521638,Liavoll Barnehage,114478287,,FANNREM,,7320,,,,In Execution,5503910,Internet,Internett Bedrift SHDSL 4 Mbps (ws),finalize access,DSL,IN_PROGRESS,LSD,63495849,18.05.2016,,,15.06.2016,19.05.2016,06.06.2016,,,15.06.2016,1,31.05.2016 08:23:10
DGC Systems Access,201790,Gycom 13,,,KORNSJØ,GARDERMOEN,1796,2060,,,Planning,5503961,Ethernet,Ethernet Access ADSL 2+ 16000/800 (ws_Prem_E-line),plan & design,DSL,IN_PROGRESS,LSD,63494505,20.05.2016,,24.05.2016,27.06.2016,25.05.2016,16.06.2016,,,27.06.2016,1,31.05.2016 08:23:10
FOLLESTAD TREND AS,11107006,FOLLESTAD TREND AS,92250401,,SKEDSMOKORSET,,2020,,NO,,In Execution,404337,Internet,Internett Bedrift ADSL 2+ opptil 12000/700 kbps (ws),finalize access,DSL,IN_PROGRESS,LSD,63495095,23.05.2016,,,15.06.2016,23.05.2016,06.06.2016,,,15.06.2016,1,31.05.2016 08:23:10
PERFECT BILVASK & BILPLEIE AS,274414,PERFECT BILVASK & BILPLEIE AS,202353845,,LARVIK,,3263,,,,In Execution,5503978,Internet,Internett Bedrift ADSL 2+ (oa),finalize access,DSL,IN_PROGRESS,LSD,32744219,23.05.2016,,24.05.2016,17.06.2016,24.05.2016,08.06.2016,,,17.06.2016,1,31.05.2016 08:23:10
Læringsverkstedet AS,131,Gaml. Nerby Barnehage,545216669,,VOSS,,5705,,NO,,Planning,404653,Internet,Internett Bedrift SHDSL 8 Mbps (oa),plan & design,DSL,IN_PROGRESS,LSD,32743883,25.05.2016,,,28.06.2016,27.05.2016,17.06.2016,,,28.06.2016,1,31.05.2016 08:23:10
Telecomputing Norway AS,213455,Jølstad Byråer,,,OSLO,OSLO,0975,1177,NO,NO,Planning,404791,Ethernet,Ethernet Access 4000 Pluss,plan & design,DSL,IN_PROGRESS,LSD,32743888,25.05.2016,,,01.06.2016,26.05.2016,31.05.2016,,,01.06.2016,1,31.05.2016 08:23:10
Kvantel AS,201839,Aleris Ungplan og Boi,285687716,180502604,OSLO,STRAUMSJØEN,0655,8475,,,Planning,5504007,Ethernet,Ethernet Access SHDSL 4000 (ws_Prem_E-line),plan & design,DSL,IN_PROGRESS,LSD,63494045,26.05.2016,,,29.06.2016,26.05.2016,20.06.2016,,,29.06.2016,1,31.05.2016 08:23:10
ARCTIC HAZARD GAME STUDIO AS,274663,ARCTIC HAZARD GAME STUDIO AS,123028033,,VESTBY,,1540,,,,In Execution,404907,Internet,Internett Bedrift VDSL2 opptil 40/10 Mbps (OA),finalize access,DSL,IN_PROGRESS,LSD,32743662,27.05.2016,,30.05.2016,30.06.2016,30.05.2016,21.06.2016,,,30.06.2016,1,31.05.2016 08:23:10
LINDTEL COM AS,263972,Willy Enger,209844769,,NØTTERØY,,3140,,NO,,Planning,404946,Internet,Internett Bedrift VDSL2 opptil 60/15 Mbps (OA),plan & design,DSL,IN_PROGRESS,LSD,,27.05.2016,,,,,,,,,1,31.05.2016 08:23:10
EILERTSEN REVISJON OG REGNSKAP,274682,Eilertsen Revisjon og Regnskap,26621796,,SARPSBORG,,1710,,,,In Execution,5504028,Internet,Internett Bedrift ADSL 2+ (oa),finalize access,DSL,IN_PROGRESS,LSD,32743688,27.05.2016,,,22.06.2016,30.05.2016,13.06.2016,,,22.06.2016,1,31.05.2016 08:23:10
FAWLTY TOWERS AS,275003,FAWLTY TOWERS AS,44207755,,LANGESUND,,3970,,,,Validation,405529,Internet,Internett Bedrift ADSL 2+ (oa),validate & disp.,DSL,IN_PROGRESS,LSD,,30.05.2016,,,,,,,,,1,31.05.2016 08:23:10
PASTA HOUSE AS,262658,Pasta house AS,17873153,,FREDRIKSTAD,,1607,,NO,,In Execution,5501211,Internet,Internett Bedrift VDSL2 opptil 40/10 Mbps (OA),finalize access,DSL,IN_PROGRESS,LSD,32673766,31.08.2015,,,12.10.2015,01.09.2015,30.10.2015,,,10.11.2015,1,31.05.2016 08:23:10
ANITAS BLOMSTER OG BEGRAVELSESBYRÅ AS,265123,ANITAS BLOMSTER OG BEGRAVELSESBYRÅ AS,240184379,,SJØVEGAN,,9350,,NO,,In Execution,357009,Internet,Internett Bedrift ADSL 2+ opptil 12000/700 kbps (ws),finalize access,DSL,IN_PROGRESS,LSD,63439766,22.10.2015,27.04.2016,27.04.2016,16.12.2015,23.10.2015,07.12.2015,,,16.12.2015,1,31.05.2016 08:23:10
CROSSFIT TRONDHEIM AS,266517,CROSSFIT TRONDHEIM AS,276395263,,TRONDHEIM,,7011,,NO,,In Execution,360122,Internet,Internett Bedrift VDSL2 opptil 40/10 Mbps (OA),finalize access,DSL,IN_PROGRESS,LSD,32662722,19.11.2015,,19.11.2015,28.12.2015,19.11.2015,07.01.2016,,,18.01.2016,1,31.05.2016 08:23:10
Nutrimar AS,211647,NUTRIMAR AS,294570929,,DYRVIK,,7270,,NO,,In Execution,364350,Internet,Internett Bedrift SHDSL 12 Mbps (oa3),finalize access,DSL,IN_PROGRESS,LSD,32744147,15.12.2015,,,22.01.2016,16.12.2015,08.06.2016,,,17.06.2016,1,31.05.2016 08:23:10
BÅT OG CARAVAN TRAFFICKER AS,268192,BÅT OG CARAVAN TRAFFICKER AS,273534974,,FINNSNES,,9300,,,,In Execution,367295,Internet,Internett Bedrift VDSL2 opptil 40/10 Mbps (OA),finalize access,DSL,IN_PROGRESS,LSD,32658173,05.01.2016,,,15.02.2016,06.01.2016,04.02.2016,,,15.02.2016,1,31.05.2016 08:23:10
PAY IT AS,11628141,PAY IT AS,,,KRISTIANSAND S,,4632,,NO,,In Execution,368568,Internet,Internett Bedrift VDSL2 opptil 40/10 Mbps (OA),finalize access,DSL,IN_PROGRESS,LSD,32656457,21.01.2016,,,02.03.2016,21.01.2016,22.02.2016,,,02.03.2016,1,31.05.2016 08:23:10
DET GODE SELSKAP AS,269031,DET GODE SELSKAP AS,256925717,,FLAKTVEIT,,5135,,,,In Execution,368802,Internet,Internett Bedrift ADSL 2+ (oa),finalize access,DSL,IN_PROGRESS,LSD,32656301,22.01.2016,,,01.03.2016,25.01.2016,19.02.2016,,,01.03.2016,1,31.05.2016 08:23:10
LINQ ØST AS,271241,Linq Øst AS,158052361,,JESSHEIM,,2050,,,,In Execution,5503183,Internet,Internett Bedrift VDSL2 opptil 40/10 Mbps (OA),finalize access,DSL,IN_PROGRESS,LSD,32650580,16.03.2016,,,12.04.2016,16.03.2016,01.04.2016,,,12.04.2016,1,31.05.2016 08:23:10
Læringsverkstedet AS,131,Læringsverkstedet AS,219163295,,KRISTIANSAND S,,4624,,NO,,Delivered,397487,Internet,Internett Bedrift SHDSL 8 Mbps (oa),,DSL,COMPLETED,LSD,32749620,28.03.2016,10.05.2016,10.05.2016,10.05.2016,30.03.2016,29.04.2016,10.05.2016,10.05.2016,10.05.2016,1,31.05.2016 08:23:10
Læringsverkstedet AS,131,Læringsverkstedet AS,,,SANDNES,,4312,,NO,,In Execution,397500,Internet,Internett Bedrift SHDSL 8 Mbps (ws),finalize access,DSL,IN_PROGRESS,LSD,63457766,28.03.2016,,,10.05.2016,29.03.2016,29.04.2016,,,10.05.2016,1,31.05.2016 08:23:10
Læringsverkstedet AS,131,Læringsverkstedet AS,219160908,,KRISTIANSAND S,,4638,,NO,,Delivered,397955,Internet,Internett Bedrift SHDSL 8 Mbps (oa),,DSL,COMPLETED,LSD,32749413,31.03.2016,11.05.2016,11.05.2016,10.05.2016,01.04.2016,11.05.2016,11.05.2016,11.05.2016,23.05.2016,1,31.05.2016 08:23:10
BAKERIET CAFÉDRIFT AS 239616,11392087,Bakeriet Kilden,168394894,,STAVANGER,,4016,,NO,,Delivered,398081,Internet,Internett Bedrift ADSL6000/640 (oa),,DSL,COMPLETED,LSD,32748733,31.03.2016,10.05.2016,10.05.2016,04.05.2016,06.04.2016,13.05.2016,10.05.2016,11.05.2016,25.05.2016,1,31.05.2016 08:23:10
Læringsverkstedet AS,131,Læringsverkstedet AS,,,KRISTIANSAND S,,4636,,NO,,Delivered,398262,Internet,Internett Bedrift SHDSL 8 Mbps (oa),,DSL,COMPLETED,LSD,32748865,04.04.2016,13.05.2016,13.05.2016,10.05.2016,05.04.2016,13.05.2016,13.05.2016,13.05.2016,25.05.2016,1,31.05.2016 08:23:10
DGC Systems Access,201790,Glitter AS,,,KORNSJØ,STAVANGER,1796,4006,,,Delivered,5503446,Ethernet,Ethernet Access 2048 Pluss,,DSL,COMPLETED,LSD,32748545,06.04.2016,20.05.2016,06.04.2016,27.05.2016,07.04.2016,18.05.2016,23.05.2016,23.05.2016,27.05.2016,1,31.05.2016 08:23:10
ATCON AS,272788,ATCON AS,276401933,,TRONDHEIM,,7044,,,,Delivered,399149,Internet,Internett Bedrift VDSL2 opptil 25/5 Mbps (OA),,DSL,COMPLETED,LSD,32748201,08.04.2016,03.05.2016,03.05.2016,18.05.2016,11.04.2016,06.05.2016,11.05.2016,11.05.2016,18.05.2016,1,31.05.2016 08:23:10
Læringsverkstedet AS,131,Læringsverkstedet AS,256977546,,HJELLESTAD,,5259,,NO,,Delivered,399161,Internet,Internett Bedrift SHDSL 4 Mbps (ws),,DSL,COMPLETED,LSD,63454450,08.04.2016,03.05.2016,03.05.2016,10.05.2016,11.04.2016,29.04.2016,10.05.2016,10.05.2016,10.05.2016,1,31.05.2016 08:23:10
Skatteetaten,220052,Skatteetaten v/Tollregion Midt Norge,,,TRONDHEIM,,7010,,NO,,In Execution,399174,Internet,Internett Bedrift ADSL 2+ (oa),finalize access,DSL,IN_PROGRESS,LSD,32748030,08.04.2016,,,10.05.2016,12.04.2016,29.04.2016,,,10.05.2016,1,31.05.2016 08:23:10
PowerTech Information Systems,100032,Human Etisk Forbund,,,OSLO,MOLDE,0581,6415,,,Delivered,5503491,Ethernet,Ethernet SHDSL 20 Mbps (oa5),,DSL,COMPLETED,LSD,32747976,11.04.2016,13.05.2016,13.05.2016,11.05.2016,12.04.2016,02.05.2016,13.05.2016,13.05.2016,11.05.2016,1,31.05.2016 08:23:10
Lopex Mottak AS,104,Lopex Mottak AS,,,KAUPANGER,,6854,,NO,,Delivered,399425,Internet,Internett Bedrift ADSL 2+ opptil 12000/700 kbps (ws),,DSL,COMPLETED,LSD,63453613,12.04.2016,09.05.2016,13.04.2016,19.05.2016,13.04.2016,09.05.2016,11.05.2016,11.05.2016,19.05.2016,1,31.05.2016 08:23:10
The Cloud Networks Nordic AB,200290,Peppes Pizza Sartor StorSenter,299401510,,STRAUME,,5353,,,,Delivered,5503519,Internet,Internett Bedrift VDSL2 opptil 25/5 Mbps (ws),,DSL,COMPLETED,LSD,63453737,12.04.2016,05.05.2016,05.05.2016,09.05.2016,13.04.2016,28.04.2016,05.05.2016,05.05.2016,09.05.2016,1,31.05.2016 08:23:10
ANSICICA AS,273133,ANSICICA AS,72057002,,KOLSÅS,,1352,,,,Delivered,5503597,Internet,Internett Bedrift ADSL2200/512 (oa),,DSL,COMPLETED,LSD,32747212,19.04.2016,04.05.2016,20.04.2016,18.05.2016,20.04.2016,06.05.2016,11.05.2016,11.05.2016,18.05.2016,1,31.05.2016 08:23:10
HUSMO BARNEHAGE SA,266769,HUSMO BARNEHAGE SA,,,ÅRNES,,2150,,NO,,In Execution,400506,Internet,Internett Bedrift ADSL 2+ (oa),finalize access,DSL,IN_PROGRESS,LSD,32747100,21.04.2016,,,01.06.2016,21.04.2016,23.05.2016,,,01.06.2016,1,31.05.2016 08:23:10
Kvantel AS,201839,Anleggsgartner Arnesen AS,285687716,225676201,OSLO,ELVERUM,0655,2408,,,Delivered,5503658,Ethernet,Ethernet SHDSL 12 Mbps (oa3),,DSL,COMPLETED,LSD,32746904,22.04.2016,12.05.2016,12.05.2016,24.05.2016,25.04.2016,12.05.2016,12.05.2016,12.05.2016,24.05.2016,1,31.05.2016 08:23:10
NERAAL MASKIN AS,273316,NERAAL MASKIN AS,127198706,,DRØBAK,,1449,,,,In Execution,400711,Internet,Internett Bedrift ADSL 2+ 10 Mb/1 Mb,finalize access,DSL,IN_PROGRESS,LSD,32746794,25.04.2016,,,31.05.2016,25.04.2016,20.05.2016,,,31.05.2016,1,31.05.2016 08:23:10
DRIFT KARL JOHANSGATE 3 AS,273324,Los Tacos,285811203,,OSLO,,0154,,,,Delivered,5503702,Internet,Internett Bedrift SHDSL 4 Mbps (oa4),,DSL,COMPLETED,LSD,32746639,25.04.2016,11.05.2016,11.05.2016,23.05.2016,26.04.2016,11.05.2016,11.05.2016,11.05.2016,23.05.2016,1,31.05.2016 08:23:10
DataGuard AS,201891,BERGEN KIRKELIGE FELLESRÅD,,,NESTTUN,LODDEFJORD,5221,5172,,,Delivered,5503731,Ethernet,Ethernet SHDSL 20 Mbps (oa5),,DSL,COMPLETED,LSD,32746471,27.04.2016,23.05.2016,23.05.2016,27.05.2016,27.04.2016,18.05.2016,23.05.2016,23.05.2016,27.05.2016,1,31.05.2016 08:23:10
ALUPRO-N AS,11534220,ALUPRO-N AS,276417351,,TILLER,,7075,,,,Delivered,401091,Internet,Internett Bedrift SHDSL 8 Mbps (oa4),,DSL,COMPLETED,LSD,32746363,27.04.2016,25.05.2016,25.05.2016,03.06.2016,28.04.2016,25.05.2016,26.05.2016,26.05.2016,03.06.2016,1,31.05.2016 08:23:10
ROMSØES MAT AS,273425,ROMSØES MAT AS,463532597,,STAVANGER,,4014,,,,Delivered,5503715,Internet,Internett Bedrift ADSL 2+ opptil 12000/700 kbps (ws),,DSL,COMPLETED,LSD,63450031,28.04.2016,11.05.2016,11.05.2016,24.05.2016,28.04.2016,12.05.2016,12.05.2016,12.05.2016,24.05.2016,1,31.05.2016 08:23:10
NYE LINDTEL AS,256648,Breili & Partner MNAL AS,210703744,,TJØME,,3145,,,,Delivered,5503688,Internet,Internett Bedrift ADSL 2+ opptil 12000/700 kbps (ws),,DSL,COMPLETED,LSD,63450040,28.04.2016,09.05.2016,09.05.2016,19.05.2016,28.04.2016,09.05.2016,11.05.2016,11.05.2016,19.05.2016,1,31.05.2016 08:23:10
