customer_name,customer_id,order_ref,product_group,product_name,tech,status,system,process_step,circuit_id,reg_date,plan_done_date,clean_order_date,agreed_date,agreed_installation_date,FM_date,finalize_access_date,latest_agreed_date,order_counter,last_update_timestamp
Kvantel AS,9,5503679_lsd,Ethernet,Ethernet Access 2048 Pluss,DSL,IN_PROGRESS,LSD,finalize access,32746320,28.04.2016,,28.04.2016,27.05.2016,18.05.2016,,,27.05.2016,1,25.05.2016 10:40:52
IT Kompaniet AS,13,5503849_lsd,Internet,Internett Bedrift ADSL 2+ (oa),DSL,IN_PROGRESS,LSD,finalize access,32745598,04.05.2016,,06.05.2016,31.05.2016,20.05.2016,,,31.05.2016,1,25.05.2016 10:40:52
PowerTech Information Systems,14,5503844_lsd,Ethernet,Ethernet aksess SHDSL 4 Mbps (oa4),DSL,IN_PROGRESS,LSD,finalize access,32745501,06.05.2016,,09.05.2016,06.06.2016,26.05.2016,,,06.06.2016,1,25.05.2016 10:40:52
STIG NYSTRØM,15,403419_lsd,Internet,Internett Bedrift ADSL 2048/448 kbps (ws),DSL,IN_PROGRESS,LSD,plan & design,,10.05.2016,,11.05.2016,,,,,,1,25.05.2016 10:40:52
BARTLEBY CORP. AS,16,404041_lsd,Internet,Internett Bedrift SHDSL 20 Mbps (oa5),DSL,IN_PROGRESS,LSD,plan & design,32744551,18.05.2016,,,21.06.2016,10.06.2016,,,21.06.2016,1,25.05.2016 10:40:52
T.M BYGG AS,17,404043_lsd,Internet,Internett Bedrift VDSL2 opptil 40/10 Mbps (OA),DSL,IN_PROGRESS,LSD,finalize access,32744594,18.05.2016,,,10.08.2016,01.08.2016,,,10.08.2016,1,25.05.2016 10:40:52
AAFAG EIENDOM AS,18,404047_lsd,Internet,Internett Bedrift VDSL2 opptil 25/5 Mbps (OA),DSL,IN_PROGRESS,LSD,finalize access,32744595,18.05.2016,,,07.06.2016,27.05.2016,,,07.06.2016,1,25.05.2016 10:40:52
WALHALLA FRAKT AS,19,404074_lsd,Internet,Internett Bedrift SHDSL 8 Mbps (oa4),DSL,IN_PROGRESS,LSD,plan & design,32744493,18.05.2016,,,10.06.2016,01.06.2016,,,10.06.2016,1,25.05.2016 10:40:52
INGENIØRFIRMA TPS AS,20,404080_lsd,Internet,Internett Bedrift VDSL2 opptil 25/5 Mbps (OA),DSL,IN_PROGRESS,LSD,plan & design,,18.05.2016,,,,,,,,1,25.05.2016 10:40:52
Norsk Luthersk Misjonssamband,21,5503910_lsd,Internet,Internett Bedrift SHDSL 4 Mbps (ws),DSL,IN_PROGRESS,LSD,finalize access,63495849,18.05.2016,,,15.06.2016,06.06.2016,,,15.06.2016,1,25.05.2016 10:40:52
Norsk Luthersk Misjonssamband,21,5503914_lsd,Internet,Internett Bedrift SHDSL 4 Mbps (oa4),DSL,IN_PROGRESS,LSD,complete order,32744591,18.05.2016,24.05.2016,24.05.2016,08.06.2016,30.05.2016,,,08.06.2016,1,25.05.2016 10:40:52
DGC Systems Access,7,5503961_lsd,Ethernet,Ethernet Access ADSL 2+ 16000/800 (ws_Prem_E-line),DSL,IN_PROGRESS,LSD,plan & design,63494505,20.05.2016,,24.05.2016,27.06.2016,16.06.2016,,,27.06.2016,1,25.05.2016 10:40:52
FOLLESTAD TREND AS,3,404337_lsd,Internet,Internett Bedrift ADSL 2+ opptil 12000/700 kbps (ws),DSL,IN_PROGRESS,LSD,finalize access,63495095,23.05.2016,,,15.06.2016,06.06.2016,,,15.06.2016,1,25.05.2016 10:40:52
HERIGSTAD MEK AS,22,404380_lsd,Internet,Internett Bedrift ADSL 2+ opptil 12000/700 kbps (ws),DSL,IN_PROGRESS,LSD,plan & design,,23.05.2016,,,,,,,,1,25.05.2016 10:40:52
PERFECT BILVASK & BILPLEIE AS,23,5503978_lsd,Internet,Internett Bedrift ADSL 2+ (oa),DSL,IN_PROGRESS,LSD,finalize access,32744219,23.05.2016,,24.05.2016,17.06.2016,08.06.2016,,,17.06.2016,1,25.05.2016 10:40:52
Læringsverkstedet AS,8,404628_lsd,Internet,Internett Bedrift SHDSL 8 Mbps (ws),DSL,IN_PROGRESS,LSD,plan & design,,25.05.2016,,,,,,,,1,25.05.2016 10:40:52
Læringsverkstedet AS,8,404632_lsd,Internet,Internett Bedrift SHDSL 8 Mbps (oa),DSL,IN_PROGRESS,LSD,validate & disp.,,25.05.2016,,,,,,,,1,25.05.2016 10:40:52
PASTA HOUSE AS,24,5501211_lsd,Internet,Internett Bedrift VDSL2 opptil 40/10 Mbps (OA),DSL,IN_PROGRESS,LSD,finalize access,32673766,31.08.2015,,,12.10.2015,30.10.2015,,,10.11.2015,1,25.05.2016 10:40:52
ANITAS BLOMSTER OG BEGRAVELSESBYRÅ AS,25,357009_lsd,Internet,Internett Bedrift ADSL 2+ opptil 12000/700 kbps (ws),DSL,IN_PROGRESS,LSD,finalize access,63439766,22.10.2015,27.04.2016,27.04.2016,16.12.2015,07.12.2015,,,16.12.2015,1,25.05.2016 10:40:52
CROSSFIT TRONDHEIM AS,26,360122_lsd,Internet,Internett Bedrift VDSL2 opptil 40/10 Mbps (OA),DSL,IN_PROGRESS,LSD,finalize access,32662722,19.11.2015,,19.11.2015,28.12.2015,07.01.2016,,,18.01.2016,1,25.05.2016 10:40:52
Nutrimar AS,27,364350_lsd,Internet,Internett Bedrift SHDSL 12 Mbps (oa3),DSL,IN_PROGRESS,LSD,finalize access,32744147,15.12.2015,,,22.01.2016,08.06.2016,,,17.06.2016,1,25.05.2016 10:40:52
BÅT OG CARAVAN TRAFFICKER AS,28,367295_lsd,Internet,Internett Bedrift VDSL2 opptil 40/10 Mbps (OA),DSL,IN_PROGRESS,LSD,finalize access,32658173,05.01.2016,,,15.02.2016,04.02.2016,,,15.02.2016,1,25.05.2016 10:40:52
ULMATEC SKIPSSERVICE AS,29,368353_lsd,Internet,Internett Bedrift ADSL 2+ 15 Mb/1 Mb,DSL,IN_PROGRESS,LSD,finalize access,32656511,19.01.2016,,21.01.2016,10.03.2016,25.05.2016,,,03.06.2016,1,25.05.2016 10:40:52
PAY IT AS,30,368568_lsd,Internet,Internett Bedrift VDSL2 opptil 40/10 Mbps (OA),DSL,IN_PROGRESS,LSD,finalize access,32656457,21.01.2016,,,02.03.2016,22.02.2016,,,02.03.2016,1,25.05.2016 10:40:52
DET GODE SELSKAP AS,31,368802_lsd,Internet,Internett Bedrift ADSL 2+ (oa),DSL,IN_PROGRESS,LSD,finalize access,32656301,22.01.2016,,,01.03.2016,19.02.2016,,,01.03.2016,1,25.05.2016 10:40:52
LINQ ØST AS,32,5503183_lsd,Internet,Internett Bedrift VDSL2 opptil 40/10 Mbps (OA),DSL,IN_PROGRESS,LSD,finalize access,32650580,16.03.2016,,,12.04.2016,01.04.2016,,,12.04.2016,1,25.05.2016 10:40:52
Læringsverkstedet AS,8,397500_lsd,Internet,Internett Bedrift SHDSL 8 Mbps (ws),DSL,IN_PROGRESS,LSD,finalize access,63457766,28.03.2016,,,10.05.2016,29.04.2016,,,10.05.2016,1,25.05.2016 10:40:52
PYRAMIDEN SPORT AS,33,5503336_lsd,Internet,Internett Bedrift VDSL2 opptil 60/15 Mbps (OA),DSL,IN_PROGRESS,LSD,plan & design,,30.03.2016,,05.04.2016,,,,,,1,25.05.2016 10:40:52
Læringsverkstedet AS,8,397976_lsd,Internet,Internett Bedrift SHDSL 8 Mbps (ws),DSL,IN_PROGRESS,LSD,finalize access,63457064,31.03.2016,,,10.05.2016,19.05.2016,,,30.05.2016,1,25.05.2016 10:40:52
DGC Systems Access,7,5503446_lsd,Ethernet,Ethernet Access 2048 Pluss,DSL,COMPLETED,LSD,,32748545,06.04.2016,20.05.2016,06.04.2016,27.05.2016,18.05.2016,23.05.2016,23.05.2016,27.05.2016,1,25.05.2016 10:40:52
Skatteetaten,34,399174_lsd,Internet,Internett Bedrift ADSL 2+ (oa),DSL,IN_PROGRESS,LSD,finalize access,32748030,08.04.2016,,,10.05.2016,29.04.2016,,,10.05.2016,1,25.05.2016 10:40:52
DataGuard AS,35,5503558_lsd,Internet,Internett Bedrift SHDSL 1 Mbps (ws),DSL,IN_PROGRESS,LSD,finalize access,63453061,15.04.2016,,,12.05.2016,27.05.2016,,,07.06.2016,1,25.05.2016 10:40:52
HUSMO BARNEHAGE SA,36,400506_lsd,Internet,Internett Bedrift ADSL 2+ (oa),DSL,IN_PROGRESS,LSD,finalize access,32747100,21.04.2016,,,01.06.2016,23.05.2016,,,01.06.2016,1,25.05.2016 10:40:52
NERAAL MASKIN AS,37,400711_lsd,Internet,Internett Bedrift ADSL 2+ 10 Mb/1 Mb,DSL,IN_PROGRESS,LSD,finalize access,32746794,25.04.2016,,,31.05.2016,20.05.2016,,,31.05.2016,1,25.05.2016 10:40:52
DataGuard AS,35,5503731_lsd,Ethernet,Ethernet SHDSL 20 Mbps (oa5),DSL,COMPLETED,LSD,,32746471,27.04.2016,23.05.2016,23.05.2016,27.05.2016,18.05.2016,23.05.2016,23.05.2016,27.05.2016,1,25.05.2016 10:40:52
ALUPRO-N AS,38,401091_lsd,Internet,Internett Bedrift SHDSL 8 Mbps (oa4),DSL,IN_PROGRESS,LSD,finalize access,32746363,27.04.2016,,,03.06.2016,25.05.2016,,,03.06.2016,1,25.05.2016 10:40:52
INTERIØRVERKSTEDET AS,39,401205_lsd,Internet,Internett Bedrift SHDSL 8 Mbps (ws),DSL,COMPLETED,LSD,,63499646,29.04.2016,23.05.2016,23.05.2016,01.06.2016,23.05.2016,23.05.2016,23.05.2016,01.06.2016,1,25.05.2016 10:40:52
"Delta-p, pumpe og kompressor systemer AS",40,401590_lsd,Internet,Internett Bedrift SHDSL 8 Mbps (oa),DSL,IN_PROGRESS,LSD,finalize access,32745606,03.05.2016,,,08.06.2016,30.05.2016,,,08.06.2016,1,25.05.2016 10:40:52
ODIN TRADING AS,41,5503817_lsd,Internet,Internett Bedrift VDSL2 opptil 25/5 Mbps (OA),DSL,IN_PROGRESS,LSD,finalize access,32744850,06.05.2016,,17.05.2016,17.08.2016,08.08.2016,,,17.08.2016,1,25.05.2016 10:40:52
Basis Consulting AS,42,403127_lsd,Internet,Internett Bedrift ADSL 2+ (oa),DSL,IN_PROGRESS,LSD,finalize access,32745496,09.05.2016,,09.05.2016,08.06.2016,30.05.2016,,,08.06.2016,1,25.05.2016 10:40:52
Basis Consulting AS,42,403134_lsd,Internet,Internett Bedrift ADSL 2+ (oa),DSL,IN_PROGRESS,LSD,finalize access,32745490,09.05.2016,,09.05.2016,08.06.2016,30.05.2016,,,08.06.2016,1,25.05.2016 10:40:52
DGC Systems Access,7,5503868_lsd,Ethernet,Ethernet Access SHDSL 8000 (ws_Prem_E-line),DSL,IN_PROGRESS,LSD,plan & design,63496834,09.05.2016,,10.05.2016,16.08.2016,05.08.2016,,,16.08.2016,1,25.05.2016 10:40:52
STIG NYSTRØM,15,403413_lsd,Internet,Internett Bedrift ADSL2200/512 (oa),DSL,IN_PROGRESS,LSD,plan & design,32745079,10.05.2016,,11.05.2016,10.06.2016,01.06.2016,,,10.06.2016,1,25.05.2016 10:40:52
Kvantel AS,9,5503882_lsd,Ethernet,Ethernet SHDSL 12 Mbps (oa3),DSL,IN_PROGRESS,LSD,plan & design,32745124,10.05.2016,,,10.06.2016,01.06.2016,,,10.06.2016,1,25.05.2016 10:40:52
MJØSA PIZZERIA & RESTAURANT AS,43,403626_lsd,Internet,Internett Bedrift ADSL4400/640 (oa),DSL,IN_PROGRESS,LSD,finalize access,32745119,11.05.2016,,,15.06.2016,06.06.2016,,,15.06.2016,1,25.05.2016 10:40:52
DGC Systems Access,7,403756_lsd,Ethernet,Ethernet Access SHDSL 8000 (ws_Prem_E-line),DSL,IN_PROGRESS,LSD,plan & design,63495021,13.05.2016,,23.05.2016,19.09.2016,08.09.2016,,,19.09.2016,1,25.05.2016 10:40:52
The Cloud Networks Nordic AB,44,5503926_lsd,Internet,Internett Bedrift VDSL2 opptil 25/5 Mbps (OA),DSL,IN_PROGRESS,LSD,finalize access,32744768,16.05.2016,,,13.06.2016,02.06.2016,,,13.06.2016,1,25.05.2016 10:40:52
"DALA'S RESTAURANTHUS AS",45,404040_lsd,Internet,Internett Bedrift VDSL2 opptil 40/10 Mbps (OA),DSL,IN_PROGRESS,LSD,plan & design,,18.05.2016,,,,,,,,1,25.05.2016 10:40:52
VELVÆRE NORD AS,46,404067_lsd,Internet,Internett Bedrift ADSL 2+ 10 Mb/1 Mb,DSL,IN_PROGRESS,LSD,finalize access,32744597,18.05.2016,,,09.06.2016,31.05.2016,,,09.06.2016,1,25.05.2016 10:40:52
Norsk Luthersk Misjonssamband,21,5503912_lsd,Internet,Internett Bedrift SHDSL 4 Mbps (oa),DSL,IN_PROGRESS,LSD,finalize access,32744542,18.05.2016,,,08.06.2016,30.05.2016,,,08.06.2016,1,25.05.2016 10:40:52
Norsk Luthersk Misjonssamband,21,5503916_lsd,Internet,Internett Bedrift SHDSL 4 Mbps (oa),DSL,IN_PROGRESS,LSD,finalize access,32744496,18.05.2016,,,08.06.2016,30.05.2016,,,08.06.2016,1,25.05.2016 10:40:52
Norsk Luthersk Misjonssamband,21,5503922_lsd,Internet,Internett Bedrift SHDSL 4 Mbps (ws),DSL,IN_PROGRESS,LSD,plan & design,63495829,18.05.2016,,,15.06.2016,06.06.2016,,,15.06.2016,1,25.05.2016 10:40:52
DataGuard AS,35,5503948_lsd,Internet,Internett Bedrift VDSL2 opptil 25/5 Mbps (OA),DSL,IN_PROGRESS,LSD,finalize access,32744491,19.05.2016,,19.05.2016,15.06.2016,06.06.2016,,,15.06.2016,1,25.05.2016 10:40:52
TRONDHJEMS ASYLSELSKAP,47,404246_lsd,Internet,Internett Bedrift SHDSL 12 Mbps (oa3),DSL,IN_PROGRESS,LSD,plan & design,32744410,19.05.2016,,,03.06.2016,02.06.2016,,,03.06.2016,1,25.05.2016 10:40:52
Thunes Tanntekniske AS,48,5503974_lsd,Internet,Internett Bedrift VDSL2 opptil 40/10 Mbps (OA),DSL,IN_PROGRESS,LSD,finalize access,32744292,23.05.2016,,,16.06.2016,07.06.2016,,,16.06.2016,1,25.05.2016 10:40:52
Norsk Luthersk Misjonssamband,21,5503962_lsd,Internet,Internett Bedrift SHDSL 4 Mbps (oa4),DSL,IN_PROGRESS,LSD,plan & design,32744275,23.05.2016,,,15.06.2016,06.06.2016,,,15.06.2016,1,25.05.2016 10:40:52
KESER AS,49,404378_lsd,Internet,Internett Bedrift VDSL2 opptil 40/10 Mbps (OA),DSL,IN_PROGRESS,LSD,finalize access,32744271,23.05.2016,,,27.06.2016,16.06.2016,,,27.06.2016,1,25.05.2016 10:40:52
L.E.T.T. AS,50,404389_lsd,Internet,Internett Bedrift VDSL2 opptil 25/5 Mbps (OA),DSL,IN_PROGRESS,LSD,finalize access,32744220,23.05.2016,,,29.06.2016,20.06.2016,,,29.06.2016,1,25.05.2016 10:40:52
BERGENS MUSIKHANDEL AS,51,5501492_lsd,Internet,Internett Bedrift VDSL2 opptil 40/10 Mbps (OA),DSL,IN_PROGRESS,LSD,finalize access,32669404,30.09.2015,,,11.11.2015,02.11.2015,,,11.11.2015,1,25.05.2016 10:40:52
STIFTELSEN STEINERSKOLEN I HAUGESUND,52,5501484_lsd,Internet,Internett Bedrift ADSL 2+ opptil 12000/700 kbps (ws),DSL,IN_PROGRESS,LSD,finalize access,63446994,30.09.2015,,,11.11.2015,02.11.2015,,,11.11.2015,1,25.05.2016 10:40:52
BRYGGELAND AS,53,5501771_lsd,Internet,Internett Bedrift VDSL2 opptil 25/5 Mbps (OA),DSL,IN_PROGRESS,LSD,finalize access,32665184,30.10.2015,,,23.11.2015,12.11.2015,,,23.11.2015,1,25.05.2016 10:40:52
4Service AS,54,358951_lsd,Internet,Internett Bedrift ADSL 2+ opptil 12000/700 kbps (ws),DSL,IN_PROGRESS,LSD,finalize access,63433998,10.11.2015,,,20.01.2016,11.01.2016,,,20.01.2016,1,25.05.2016 10:40:52
FLORVÅG PIZZA AS,55,359111_lsd,Internet,Internett Bedrift ADSL 2+ 15 Mb/1 Mb,DSL,IN_PROGRESS,LSD,finalize access,32662398,11.11.2015,,,11.12.2015,02.12.2015,,,11.12.2015,1,25.05.2016 10:40:52
NORDESIGN AS,56,359877_lsd,Internet,Internett Bedrift ADSL 2+ (oa),DSL,IN_PROGRESS,LSD,finalize access,32662246,17.11.2015,,,14.12.2015,03.12.2015,,,14.12.2015,1,25.05.2016 10:40:52
STOKKE PIZZA JAMAL ALHAW,57,363331_lsd,Internet,Internett Bedrift VDSL2 opptil 25/5 Mbps (ws),DSL,IN_PROGRESS,LSD,finalize access,63428199,30.11.2015,,30.11.2015,17.12.2015,08.12.2015,,,17.12.2015,1,25.05.2016 10:40:52
KICK OFF AS,58,363687_lsd,Internet,Internett Bedrift VDSL2 opptil 25/5 Mbps (OA),DSL,IN_PROGRESS,LSD,finalize access,32660586,07.12.2015,,,18.01.2016,07.01.2016,,,18.01.2016,1,25.05.2016 10:40:52
"STASJON' RESTAURANT/PUB LINDITA SALIHU",59,363994_lsd,Internet,Internett Bedrift VDSL2 opptil 25/5 Mbps (ws),DSL,IN_PROGRESS,LSD,finalize access,63423641,09.12.2015,,,10.02.2016,19.02.2016,,,01.03.2016,1,25.05.2016 10:40:52
ERLING ASBJØRN ASPNES,60,364184_lsd,Internet,Internett Bedrift ADSL 4100/640 kbps (ws),DSL,IN_PROGRESS,LSD,finalize access,63423644,11.12.2015,,,01.02.2016,21.01.2016,,,01.02.2016,1,25.05.2016 10:40:52
FROST FRISØR AS,61,5502431_lsd,Internet,Internett Bedrift VDSL2 opptil 25/5 Mbps (OA),DSL,IN_PROGRESS,LSD,finalize access,32659589,17.12.2015,,,13.01.2016,22.01.2016,,,02.02.2016,1,25.05.2016 10:40:52
RASMUSSEN & STRAND - GUSTAVSEN AS,62,364764_lsd,Internet,Internett Bedrift VDSL2 opptil 40/10 Mbps (OA),DSL,IN_PROGRESS,LSD,finalize access,32658836,18.12.2015,,,13.06.2016,02.06.2016,,,13.06.2016,1,25.05.2016 10:40:52
MADRASS EKSPERTEN AS,63,5502777_lsd,Internet,Internett Bedrift VDSL2 opptil 25/5 Mbps (OA),DSL,IN_PROGRESS,LSD,finalize access,32655898,26.01.2016,,,17.02.2016,03.10.2016,,,12.10.2016,1,25.05.2016 10:40:52
Verizon Norway AS,64,370154_lsd,Internet,Internett Bedrift SHDSL 1 Mbps (oa),DSL,IN_PROGRESS,LSD,finalize access,32654775,04.02.2016,,05.02.2016,09.03.2016,01.06.2016,,,10.06.2016,1,25.05.2016 10:40:52
SKYLAND TRAMPOLINEPARK AS,65,393011_lsd,Internet,Internett Bedrift ADSL 2+ (oa),DSL,IN_PROGRESS,LSD,finalize access,32653010,18.02.2016,,,28.03.2016,17.03.2016,,,28.03.2016,1,25.05.2016 10:40:52
LILLY MAY AS,66,393094_lsd,Internet,Internett Bedrift VDSL2 opptil 25/5 Mbps (OA),DSL,IN_PROGRESS,LSD,finalize access,32652994,18.02.2016,,22.02.2016,12.04.2016,01.04.2016,,,12.04.2016,1,25.05.2016 10:40:52
The Cloud Networks Nordic AB,44,394206_lsd,Internet,Internett Bedrift ADSL 2+ (oa),DSL,IN_PROGRESS,LSD,finalize access,32652271,29.02.2016,,01.03.2016,13.04.2016,04.04.2016,,,13.04.2016,1,25.05.2016 10:40:52
ARK Bokhandel AS,67,394459_lsd,Internet,Internett Bedrift ADSL 2+ 10 Mb/1 Mb,DSL,IN_PROGRESS,LSD,finalize access,32651966,02.03.2016,,,23.03.2016,20.06.2016,,,29.06.2016,1,25.05.2016 10:40:52
RAGNAR JAHNSEN AS,68,5503101_lsd,Internet,Internett Bedrift ADSL2200/512 (oa),DSL,IN_PROGRESS,LSD,finalize access,32650667,14.03.2016,,,07.04.2016,04.04.2016,,,13.04.2016,1,25.05.2016 10:40:52
ASIATISK MAT FØRDE AS,69,395940_lsd,Internet,Internett Bedrift VDSL2 opptil 40/10 Mbps (OA),DSL,IN_PROGRESS,LSD,plan & design,,15.03.2016,,,,,,,,1,25.05.2016 10:40:52
IT Systemer AS,70,395579_lsd,Internet,Internett Bedrift ADSL 2+ (oa),DSL,IN_PROGRESS,LSD,finalize access,32748196,18.03.2016,,08.04.2016,29.04.2016,20.04.2016,,,29.04.2016,1,25.05.2016 10:40:52
LILLE MEI AS,71,5503224_lsd,Internet,Internett Bedrift ADSL 2+ opptil 16000/700 kbps (ws),DSL,COMPLETED,LSD,,63451033,22.03.2016,20.05.2016,20.05.2016,02.06.2016,24.05.2016,23.05.2016,23.05.2016,02.06.2016,1,25.05.2016 10:40:52
Læringsverkstedet AS,8,397964_lsd,Internet,Internett Bedrift SHDSL 8 Mbps (ws),DSL,IN_PROGRESS,LSD,finalize access,63457071,31.03.2016,,,10.05.2016,18.05.2016,,,27.05.2016,1,25.05.2016 10:40:52
Læringsverkstedet AS,8,398266_lsd,Internet,Internett Bedrift SHDSL 8 Mbps (oa),DSL,COMPLETED,LSD,,32748856,04.04.2016,23.05.2016,23.05.2016,10.05.2016,18.05.2016,23.05.2016,23.05.2016,27.05.2016,1,25.05.2016 10:40:52
DGC Systems Access,7,5503441_lsd,Ethernet,Ethernet Access SHDSL 4000 (ws_Prem_E-line),DSL,COMPLETED,LSD,,63455163,06.04.2016,24.05.2016,06.04.2016,09.05.2016,28.04.2016,24.05.2016,24.05.2016,09.05.2016,1,25.05.2016 10:40:52
DGC Systems Access,7,5503561_lsd,Ethernet,Ethernet Access 2048 Pluss,DSL,IN_PROGRESS,LSD,finalize access,32746541,15.04.2016,,26.04.2016,29.06.2016,20.06.2016,,,29.06.2016,1,25.05.2016 10:40:52
OLSENS FESKEMAT,72,5503705_lsd,Internet,Internett Bedrift VDSL2 opptil 25/5 Mbps (ws),DSL,IN_PROGRESS,LSD,finalize access,63450961,25.04.2016,,,04.11.2016,26.10.2016,,,04.11.2016,1,25.05.2016 10:40:52
DataGuard AS,35,5503734_lsd,Ethernet,Ethernet Access SHDSL 8000 (ws_Prem_E-line),DSL,IN_PROGRESS,LSD,plan & design,63450356,27.04.2016,,,27.05.2016,18.05.2016,,,27.05.2016,1,25.05.2016 10:40:52
DataGuard AS,35,5503735_lsd,Ethernet,Ethernet SHDSL 20 Mbps (oa5),DSL,COMPLETED,LSD,,32746443,27.04.2016,23.05.2016,23.05.2016,27.05.2016,18.05.2016,24.05.2016,24.05.2016,27.05.2016,1,25.05.2016 10:40:52
Clear Channel Norway AS,12,5503738_lsd,Internet,Internett Bedrift ADSL 2+ opptil 16000/700 kbps (ws),DSL,IN_PROGRESS,LSD,finalize access,63450039,28.04.2016,,,25.05.2016,13.05.2016,,,25.05.2016,1,25.05.2016 10:40:52
RealNett AS,73,5503724_lsd,Ethernet,Ethernet Aksess ADSL 4400/640,DSL,COMPLETED,LSD,,32746321,28.04.2016,23.05.2016,23.05.2016,01.06.2016,23.05.2016,24.05.2016,24.05.2016,01.06.2016,1,25.05.2016 10:40:52
Kvantel AS,9,5503763_lsd,Ethernet,Ethernet Access 2048 Pluss,DSL,IN_PROGRESS,LSD,finalize access,32746033,29.04.2016,,02.05.2016,23.06.2016,14.06.2016,,,23.06.2016,1,25.05.2016 10:40:52
DGC Systems Access,7,5503865_lsd,Ethernet,Ethernet aksess SHDSL 8 Mbps (oa4),DSL,IN_PROGRESS,LSD,finalize access,32744986,09.05.2016,,10.05.2016,11.08.2016,02.08.2016,,,11.08.2016,1,25.05.2016 10:40:52
CAMILLAS BLOMSTERDESIGN AS,74,403404_lsd,Internet,Internett Bedrift VDSL2 opptil 25/5 Mbps (OA),DSL,IN_PROGRESS,LSD,finalize access,32745217,10.05.2016,,,08.06.2016,30.05.2016,,,08.06.2016,1,25.05.2016 10:40:52
