customer_name,customer_id,order_ref,product_group,process_step,circuit_id,reg_date,plan_done_date,clean_order_date,agreed_date,agreed_installation_date,FM_date,finalize_access_date,latest_agreed_date,order_counter,last_update_timestamp
Læringsverkstedet AS,7,397500_lsd,Internet,finalize access,63457766,28.03.2016,,,10.05.2016,29.04.2016,,,10.05.2016,1,"42486,858611111"
PYRAMIDEN SPORT AS,31,5503336_lsd,Internet,plan & design,,30.03.2016,,05.04.2016,,,,,,1,"42486,858611111"
Læringsverkstedet AS,7,397976_lsd,Internet,finalize access,63457064,31.03.2016,,,10.05.2016,19.05.2016,,,30.05.2016,1,"42486,858611111"
Skatteetaten,32,399174_lsd,Internet,finalize access,32748030,08.04.2016,,,10.05.2016,29.04.2016,,,10.05.2016,1,"42486,858611111"
DataGuard AS,33,5503558_lsd,Internet,finalize access,63453061,15.04.2016,,,12.05.2016,27.05.2016,,,07.06.2016,1,"42486,858611111"
HUSMO BARNEHAGE SA,34,400506_lsd,Internet,finalize access,32747100,21.04.2016,,,01.06.2016,23.05.2016,,,01.06.2016,1,"42486,858611111"
NERAAL MASKIN AS,35,400711_lsd,Internet,finalize access,32746794,25.04.2016,,,31.05.2016,20.05.2016,,,31.05.2016,1,"42486,858611111"
ALUPRO-N AS,36,401091_lsd,Internet,finalize access,32746363,27.04.2016,,,03.06.2016,25.05.2016,,,03.06.2016,1,"42486,858611111"
"Delta-p, pumpe og kompressor systemer AS",37,401590_lsd,Internet,finalize access,32745606,03.05.2016,,,08.06.2016,30.05.2016,,,08.06.2016,1,"42486,858611111"
ODIN TRADING AS,38,5503817_lsd,Internet,finalize access,32744850,06.05.2016,,17.05.2016,17.08.2016,08.08.2016,,,17.08.2016,1,"42486,858611111"
Basis Consulting AS,39,403127_lsd,Internet,finalize access,32745496,09.05.2016,,09.05.2016,08.06.2016,30.05.2016,,,08.06.2016,1,"42486,858611111"
Basis Consulting AS,39,403134_lsd,Internet,finalize access,32745490,09.05.2016,,09.05.2016,08.06.2016,30.05.2016,,,08.06.2016,1,"42486,858611111"
DGC Systems Access,8,5503868_lsd,Ethernet,plan & design,63496834,09.05.2016,,10.05.2016,16.08.2016,05.08.2016,,,16.08.2016,1,"42486,858611111"
STIG NYSTRØM,13,403413_lsd,Internet,plan & design,32745079,10.05.2016,,11.05.2016,10.06.2016,01.06.2016,,,10.06.2016,1,"42486,858611111"
Kvantel AS,10,5503882_lsd,Ethernet,plan & design,32745124,10.05.2016,,,10.06.2016,01.06.2016,,,10.06.2016,1,"42486,858611111"
MJØSA PIZZERIA & RESTAURANT AS,40,403626_lsd,Internet,finalize access,32745119,11.05.2016,,,15.06.2016,06.06.2016,,,15.06.2016,1,"42486,858611111"
DGC Systems Access,8,403756_lsd,Ethernet,plan & design,63495021,13.05.2016,,23.05.2016,19.09.2016,08.09.2016,,,19.09.2016,1,"42486,858611111"
The Cloud Networks Nordic AB,41,5503926_lsd,Internet,finalize access,32744768,16.05.2016,,,13.06.2016,02.06.2016,,,13.06.2016,1,"42486,858611111"
"DALA'S RESTAURANTHUS AS",42,404040_lsd,Internet,plan & design,,18.05.2016,,,,,,,,1,"42486,858611111"
VELVÆRE NORD AS,43,404067_lsd,Internet,finalize access,32744597,18.05.2016,,,09.06.2016,31.05.2016,,,09.06.2016,1,"42486,858611111"
Norsk Luthersk Misjonssamband,19,5503912_lsd,Internet,finalize access,32744542,18.05.2016,,,08.06.2016,30.05.2016,,,08.06.2016,1,"42486,858611111"
Norsk Luthersk Misjonssamband,19,5503916_lsd,Internet,finalize access,32744496,18.05.2016,,,08.06.2016,30.05.2016,,,08.06.2016,1,"42486,858611111"
Norsk Luthersk Misjonssamband,19,5503922_lsd,Internet,plan & design,63495829,18.05.2016,,,15.06.2016,06.06.2016,,,15.06.2016,1,"42486,858611111"
DataGuard AS,33,5503948_lsd,Internet,finalize access,32744491,19.05.2016,,19.05.2016,15.06.2016,06.06.2016,,,15.06.2016,1,"42486,858611111"
TRONDHJEMS ASYLSELSKAP,44,404246_lsd,Internet,plan & design,32744410,19.05.2016,,,03.06.2016,02.06.2016,,,03.06.2016,1,"42486,858611111"
Thunes Tanntekniske AS,45,5503974_lsd,Internet,finalize access,32744292,23.05.2016,,,16.06.2016,07.06.2016,,,16.06.2016,1,"42486,858611111"
Norsk Luthersk Misjonssamband,19,5503962_lsd,Internet,plan & design,32744275,23.05.2016,,,15.06.2016,06.06.2016,,,15.06.2016,1,"42486,858611111"
KESER AS,46,404378_lsd,Internet,finalize access,32744271,23.05.2016,,,27.06.2016,16.06.2016,,,27.06.2016,1,"42486,858611111"
L.E.T.T. AS,47,404389_lsd,Internet,finalize access,32744220,23.05.2016,,,29.06.2016,20.06.2016,,,29.06.2016,1,"42486,858611111"
BERGENS MUSIKHANDEL AS,48,5501492_lsd,Internet,finalize access,32669404,30.09.2015,,,11.11.2015,02.11.2015,,,11.11.2015,1,"42486,858611111"
STIFTELSEN STEINERSKOLEN I HAUGESUND,49,5501484_lsd,Internet,finalize access,63446994,30.09.2015,,,11.11.2015,02.11.2015,,,11.11.2015,1,"42486,858611111"
BRYGGELAND AS,50,5501771_lsd,Internet,finalize access,32665184,30.10.2015,,,23.11.2015,12.11.2015,,,23.11.2015,1,"42486,858611111"
4Service AS,51,358951_lsd,Internet,finalize access,63433998,10.11.2015,,,20.01.2016,11.01.2016,,,20.01.2016,1,"42486,858611111"
FLORVÅG PIZZA AS,52,359111_lsd,Internet,finalize access,32662398,11.11.2015,,,11.12.2015,02.12.2015,,,11.12.2015,1,"42486,858611111"
NORDESIGN AS,53,359877_lsd,Internet,finalize access,32662246,17.11.2015,,,14.12.2015,03.12.2015,,,14.12.2015,1,"42486,858611111"
STOKKE PIZZA JAMAL ALHAW,54,363331_lsd,Internet,finalize access,63428199,30.11.2015,,30.11.2015,17.12.2015,08.12.2015,,,17.12.2015,1,"42486,858611111"
KICK OFF AS,55,363687_lsd,Internet,finalize access,32660586,07.12.2015,,,18.01.2016,07.01.2016,,,18.01.2016,1,"42486,858611111"
"STASJON' RESTAURANT/PUB LINDITA SALIHU",56,363994_lsd,Internet,finalize access,63423641,09.12.2015,,,10.02.2016,19.02.2016,,,01.03.2016,1,"42486,858611111"
ERLING ASBJØRN ASPNES,57,364184_lsd,Internet,finalize access,63423644,11.12.2015,,,01.02.2016,21.01.2016,,,01.02.2016,1,"42486,858611111"
FROST FRISØR AS,58,5502431_lsd,Internet,finalize access,32659589,17.12.2015,,,13.01.2016,22.01.2016,,,02.02.2016,1,"42486,858611111"
RASMUSSEN & STRAND - GUSTAVSEN AS,59,364764_lsd,Internet,finalize access,32658836,18.12.2015,,,13.06.2016,02.06.2016,,,13.06.2016,1,"42486,858611111"
MADRASS EKSPERTEN AS,60,5502777_lsd,Internet,finalize access,32655898,26.01.2016,,,17.02.2016,03.10.2016,,,12.10.2016,1,"42486,858611111"
Verizon Norway AS,61,370154_lsd,Internet,finalize access,32654775,04.02.2016,,05.02.2016,09.03.2016,01.06.2016,,,10.06.2016,1,"42486,858611111"
SKYLAND TRAMPOLINEPARK AS,62,393011_lsd,Internet,finalize access,32653010,18.02.2016,,,28.03.2016,17.03.2016,,,28.03.2016,1,"42486,858611111"
LILLY MAY AS,63,393094_lsd,Internet,finalize access,32652994,18.02.2016,,22.02.2016,12.04.2016,01.04.2016,,,12.04.2016,1,"42486,858611111"
The Cloud Networks Nordic AB,41,394206_lsd,Internet,finalize access,32652271,29.02.2016,,01.03.2016,13.04.2016,04.04.2016,,,13.04.2016,1,"42486,858611111"
ARK Bokhandel AS,64,394459_lsd,Internet,finalize access,32651966,02.03.2016,,,23.03.2016,20.06.2016,,,29.06.2016,1,"42486,858611111"
RAGNAR JAHNSEN AS,65,5503101_lsd,Internet,finalize access,32650667,14.03.2016,,,07.04.2016,04.04.2016,,,13.04.2016,1,"42486,858611111"
ASIATISK MAT FØRDE AS,66,395940_lsd,Internet,plan & design,,15.03.2016,,,,,,,,1,"42486,858611111"
IT Systemer AS,67,395579_lsd,Internet,finalize access,32748196,18.03.2016,,08.04.2016,29.04.2016,20.04.2016,,,29.04.2016,1,"42486,858611111"
Læringsverkstedet AS,7,397964_lsd,Internet,finalize access,63457071,31.03.2016,,,10.05.2016,18.05.2016,,,27.05.2016,1,"42486,858611111"
DGC Systems Access,8,5503561_lsd,Ethernet,finalize access,32746541,15.04.2016,,26.04.2016,29.06.2016,20.06.2016,,,29.06.2016,1,"42486,858611111"
OLSENS FESKEMAT,68,5503705_lsd,Internet,finalize access,63450961,25.04.2016,,,04.11.2016,26.10.2016,,,04.11.2016,1,"42486,858611111"
DataGuard AS,33,5503734_lsd,Ethernet,plan & design,63450356,27.04.2016,,,27.05.2016,18.05.2016,,,27.05.2016,1,"42486,858611111"
Clear Channel Norway AS,9,5503738_lsd,Internet,finalize access,63450039,28.04.2016,,,25.05.2016,13.05.2016,,,25.05.2016,1,"42486,858611111"
Kvantel AS,10,5503763_lsd,Ethernet,finalize access,32746033,29.04.2016,,02.05.2016,23.06.2016,14.06.2016,,,23.06.2016,1,"42486,858611111"
DGC Systems Access,8,5503865_lsd,Ethernet,finalize access,32744986,09.05.2016,,10.05.2016,11.08.2016,02.08.2016,,,11.08.2016,1,"42486,858611111"
CAMILLAS BLOMSTERDESIGN AS,69,403404_lsd,Internet,finalize access,32745217,10.05.2016,,,08.06.2016,30.05.2016,,,08.06.2016,1,"42486,858611111"
DataGuard AS,33,5503946_lsd,Internet,finalize access,32744587,19.05.2016,,,15.06.2016,06.06.2016,,,15.06.2016,1,"42486,858611111"
Norsk Luthersk Misjonssamband,19,5503959_lsd,Internet,plan & design,,23.05.2016,,,,,,,,1,"42486,858611111"
EXPLEO AS,70,404370_lsd,Internet,finalize access,32744250,23.05.2016,,23.05.2016,27.06.2016,16.06.2016,,,27.06.2016,1,"42486,858611111"
LINDTEL COM AS,71,404407_lsd,Internet,finalize access,32744010,23.05.2016,,,29.06.2016,20.06.2016,,,29.06.2016,1,"42486,858611111"
Kvantel AS,10,404481_lsd,Ethernet,plan & design,32744063,24.05.2016,,24.05.2016,31.05.2016,30.05.2016,,,31.05.2016,1,"42486,858611111"
Network Integrator & Security AS,72,404490_lsd,Internet,finalize access,32744070,24.05.2016,,,30.06.2016,21.06.2016,,,30.06.2016,1,"42486,858611111"
NORWAY ACCOUNTS AS,73,404501_lsd,Internet,finalize access,32744022,24.05.2016,,24.05.2016,17.06.2016,08.06.2016,,,17.06.2016,1,"42486,858611111"
AS STÅL OG GUMMI,74,354926_lsd,Internet,finalize access,32667225,30.09.2015,,01.10.2015,05.11.2015,20.11.2015,,,01.12.2015,1,"42486,858611111"
LARVIK BARNE- OG UNGDOMSTEATER,75,358150_lsd,Internet,finalize access,32664599,04.11.2015,,,07.12.2015,26.11.2015,,,07.12.2015,1,"42486,858611111"
EK GÅRDSPAKKERI AS,76,359114_lsd,Internet,finalize access,32663668,11.11.2015,,,24.12.2015,15.12.2015,,,24.12.2015,1,"42486,858611111"
EK GÅRDSPAKKERI AS,76,359124_lsd,Internet,finalize access,32663661,11.11.2015,,,10.12.2015,01.12.2015,,,10.12.2015,1,"42486,858611111"
ATELIER FLORA A/S,77,359857_lsd,Internet,finalize access,32663038,17.11.2015,,17.11.2015,11.12.2015,02.12.2015,,,11.12.2015,1,"42486,858611111"
Mynet AS,78,5501981_lsd,Internet,finalize access,32663019,17.11.2015,,,08.12.2015,27.11.2015,,,08.12.2015,1,"42486,858611111"
ØSTFOLD ELEKTRO AS,79,362573_lsd,Internet,finalize access,32662034,24.11.2015,,26.11.2015,16.12.2015,07.12.2015,,,16.12.2015,1,"42486,858611111"
NESSTRA AS,80,5501510_lsd,Internet,finalize access,32660190,07.12.2015,,11.12.2015,04.01.2016,22.12.2015,,,04.01.2016,1,"42486,858611111"
SOL MAT AS,81,363938_lsd,Internet,finalize access,32660250,09.12.2015,,,14.01.2016,05.01.2016,,,14.01.2016,1,"42486,858611111"
ULMATEC SKIPSSERVICE AS,27,368370_lsd,Internet,finalize access,63414220,19.01.2016,,,09.03.2016,25.05.2016,,,03.06.2016,1,"42486,858611111"
Læringsverkstedet AS,7,398066_lsd,Internet,finalize access,32748858,31.03.2016,,,26.07.2016,23.05.2016,,,01.06.2016,1,"42486,858611111"
RealNett AS,82,5503544_lsd,Internet,validate & disp.,,14.04.2016,,,,,,,,1,"42486,858611111"
RealNett AS,82,5503545_lsd,Internet,validate & disp.,,14.04.2016,,,,,,,,1,"42486,858611111"
MIKO SØGNE AS,83,400911_lsd,Internet,finalize access,63450573,26.04.2016,,26.04.2016,27.05.2016,18.05.2016,,,27.05.2016,1,"42486,858611111"
DataGuard AS,33,5503732_lsd,Ethernet,complete order,32746457,27.04.2016,25.05.2016,25.05.2016,27.05.2016,18.05.2016,,,27.05.2016,1,"42486,858611111"
CARABO AS,84,401070_lsd,Internet,plan & design,,27.04.2016,,,,,,,,1,"42486,858611111"
Forsvarets regnskapsadm,85,401423_lsd,Internet,finalize access,63496430,02.05.2016,,02.05.2016,10.06.2016,01.06.2016,,,10.06.2016,1,"42486,858611111"
ODIN TRADING AS,38,5503818_lsd,Internet,finalize access,63497913,06.05.2016,,09.05.2016,17.08.2016,08.08.2016,,,17.08.2016,1,"42486,858611111"
Clear Channel Norway AS,9,404132_lsd,Internet,finalize access,63496431,11.05.2016,,,06.06.2016,26.05.2016,,,06.06.2016,1,"42486,858611111"
Kina Helsesenter AS,86,403820_lsd,Internet,plan & design,,13.05.2016,,17.05.2016,,,,,,1,"42486,858611111"
Norsk Luthersk Misjonssamband,19,5503920_lsd,Internet,finalize access,63495832,18.05.2016,,,15.06.2016,06.06.2016,,,15.06.2016,1,"42486,858611111"
Kvantel AS,10,404299_lsd,Ethernet,plan & design,32744268,20.05.2016,,,01.06.2016,26.05.2016,,,27.05.2016,1,"42486,858611111"
EXPLEO AS,70,404366_lsd,Internet,finalize access,32744274,23.05.2016,,,27.06.2016,16.06.2016,,,27.06.2016,1,"42486,858611111"
LINDTEL COM AS,71,404405_lsd,Internet,finalize access,32744011,23.05.2016,,,29.06.2016,20.06.2016,,,29.06.2016,1,"42486,858611111"
LINDTEL COM AS,71,404409_lsd,Internet,plan & design,,23.05.2016,,,,,,,,1,"42486,858611111"
CADDIESOFT NORGE AS,87,404455_lsd,Internet,plan & design,,24.05.2016,,,,,,,,1,"42486,858611111"
Ove Skaar AS,88,404570_lsd,Internet,plan & design,32744073,24.05.2016,,,29.06.2016,20.06.2016,,,29.06.2016,1,"42486,858611111"
Torvikbukt Barnehage,89,404572_lsd,Internet,validate & disp.,,24.05.2016,,25.05.2016,,,,,,1,"42486,858611111"
Tryggheim Barnehage Vatne,90,404592_lsd,Internet,plan & design,,24.05.2016,,,,,,,,1,"42486,858611111"
Det Norske Misjonsselskap,91,360136_lsd,Internet,finalize access,63403217,19.11.2015,01.03.2016,01.03.2016,06.01.2016,13.05.2016,,,25.05.2016,1,"42486,858611111"
CARL ARNE GRIMSØ,92,367293_lsd,Internet,finalize access,32658172,05.01.2016,,,12.02.2016,03.02.2016,,,12.02.2016,1,"42486,858611111"
YES VI LEKER MANGLERUD AS,93,5502551_lsd,Internet,finalize access,32658041,07.01.2016,,,22.02.2016,11.02.2016,,,22.02.2016,1,"42486,858611111"
MATHEA Randi Fønnebø Løwer,94,5502649_lsd,Internet,finalize access,32657081,14.01.2016,,,10.02.2016,01.02.2016,,,10.02.2016,1,"42486,858611111"
AREAL EIENDOMSMEGLING AS,95,5502809_lsd,Internet,finalize access,32655765,27.01.2016,,,23.02.2016,12.02.2016,,,23.02.2016,1,"42486,858611111"
FUE.NO AS,96,394652_lsd,Internet,finalize access,32651759,04.03.2016,,,10.06.2016,01.06.2016,,,10.06.2016,1,"42486,858611111"
Intility AS,97,5503182_lsd,Ethernet,finalize access,63401294,09.03.2016,,,13.06.2016,10.06.2016,,,21.06.2016,1,"42486,858611111"
Læringsverkstedet AS,7,397493_lsd,Internet,finalize access,63457770,28.03.2016,,,13.05.2016,26.05.2016,,,06.06.2016,1,"42486,858611111"
PIMPERNELL AS,98,5503333_lsd,Internet,finalize access,32749485,30.03.2016,,,19.04.2016,08.04.2016,,,19.04.2016,1,"42486,858611111"
Kvantel AS,10,5503436_lsd,Ethernet,finalize access,32748363,07.04.2016,,,11.05.2016,02.05.2016,,,11.05.2016,1,"42486,858611111"
LE CHALET AS,99,400770_lsd,Internet,finalize access,32745927,25.04.2016,,,11.07.2016,30.06.2016,,,11.07.2016,1,"42486,858611111"
Kvantel AS,10,5503717_lsd,Ethernet,plan & design,32746329,28.04.2016,,,03.06.2016,25.05.2016,,,03.06.2016,1,"42486,858611111"
Clear Channel Norway AS,9,5503856_lsd,Internet,finalize access,32745504,06.05.2016,,09.05.2016,01.06.2016,23.05.2016,,,01.06.2016,1,"42486,858611111"
PowerTech Information Systems,12,5503845_lsd,Ethernet,finalize access,32745500,06.05.2016,,09.05.2016,10.08.2016,01.08.2016,,,10.08.2016,1,"42486,858611111"
NORDLYS MALERSERVICE AS,100,403437_lsd,Internet,finalize access,63497271,10.05.2016,,,03.06.2016,25.05.2016,,,03.06.2016,1,"42486,858611111"
SUN2 LANGNES AS,101,403780_lsd,Internet,finalize access,32744853,12.05.2016,,,18.08.2016,09.08.2016,,,18.08.2016,1,"42486,858611111"
IP-Only Telecommunication Networks AB,102,403700_lsd,Ethernet,plan & design,32744534,18.05.2016,,,08.06.2016,30.05.2016,,,08.06.2016,1,"42486,858611111"
Norsk Luthersk Misjonssamband,19,5503911_lsd,Internet,plan & design,63495846,18.05.2016,,,15.06.2016,06.06.2016,,,15.06.2016,1,"42486,858611111"
Norsk Luthersk Misjonssamband,19,5503913_lsd,Internet,plan & design,,18.05.2016,,,,,,,,1,"42486,858611111"
Norsk Luthersk Misjonssamband,19,5503917_lsd,Internet,plan & design,32744589,18.05.2016,,,09.06.2016,31.05.2016,,,09.06.2016,1,"42486,858611111"
Norsk Luthersk Misjonssamband,19,5503931_lsd,Internet,finalize access,63495827,18.05.2016,,,15.06.2016,06.06.2016,,,15.06.2016,1,"42486,858611111"
MARIERO FOODCOURT AS,103,404170_lsd,Internet,finalize access,32744577,19.05.2016,,,24.06.2016,15.06.2016,,,24.06.2016,1,"42486,858611111"
POPTECK AS,104,404201_lsd,Internet,finalize access,32744569,19.05.2016,,,27.06.2016,16.06.2016,,,27.06.2016,1,"42486,858611111"
FETSUND ØLUTSALG OG PUB AS,105,404260_lsd,Internet,finalize access,32744430,20.05.2016,,,15.06.2016,06.06.2016,,,15.06.2016,1,"42486,858611111"
KS VEITA SENTER,106,404292_lsd,Internet,finalize access,32744293,20.05.2016,,,15.06.2016,06.06.2016,,,15.06.2016,1,"42486,858611111"
COMFORTBUTIKKEN SKØYEN AS,107,5503973_lsd,Internet,finalize access,32744291,23.05.2016,,,29.06.2016,20.06.2016,,,29.06.2016,1,"42486,858611111"
AKILLES MANASRAH,108,5503980_lsd,Internet,finalize access,32744029,23.05.2016,,24.05.2016,17.06.2016,08.06.2016,,,17.06.2016,1,"42486,858611111"
ADVOKATFIRMAET ERIKSEN AS,109,404585_lsd,Internet,plan & design,,24.05.2016,,,,,,,,1,"42486,858611111"
SOMMERFELDT-COLBERG INVEST AS,110,346837_lsd,Internet,finalize access,32682440,01.07.2015,,,12.08.2015,15.09.2015,,,24.09.2015,1,"42486,858611111"
ÅPNE BARNEHAGER AS,111,351080_lsd,Internet,finalize access,32674559,26.08.2015,,,03.12.2015,24.11.2015,,,03.12.2015,1,"42486,858611111"
ZOLA HUND OG KATT AINA ERIKSEN,112,5501246_lsd,Internet,finalize access,32673181,03.09.2015,,,30.09.2015,21.09.2015,,,30.09.2015,1,"42486,858611111"
ARNEBERG FORLAG AS,113,353677_lsd,Internet,finalize access,32670798,21.09.2015,,21.09.2015,14.10.2015,05.10.2015,,,14.10.2015,1,"42486,858611111"
TØMRERMESTER BJØRN MARTIN BAMRUD AS,114,353678_lsd,Internet,finalize access,63350267,21.09.2015,,,07.10.2016,28.09.2016,,,07.10.2016,1,"42486,858611111"
Det Norske Misjonsselskap,91,360139_lsd,Internet,finalize access,32662644,19.11.2015,,20.11.2015,15.01.2016,22.01.2016,,,02.02.2016,1,"42486,858611111"
Direkte- Premier AS,115,363381_lsd,Internet,finalize access,32661568,30.11.2015,,,30.12.2015,18.12.2015,,,30.12.2015,1,"42486,858611111"
ACCURATE TOO INVEST LTD,116,5503296_lsd,Internet,finalize access,32650116,18.03.2016,,21.03.2016,13.04.2016,07.04.2016,,,18.04.2016,1,"42486,858611111"
GODTEBUTIKKEN AS,117,396563_lsd,Internet,finalize access,32749815,18.03.2016,,,15.06.2016,06.06.2016,,,15.06.2016,1,"42486,858611111"
VIENNA AS,118,395103_lsd,Internet,finalize access,32749429,30.03.2016,,31.03.2016,20.04.2016,11.04.2016,,,20.04.2016,1,"42486,858611111"
SANDVIKA FOLKETS HUS BA,119,398334_lsd,Internet,finalize access,32746790,04.04.2016,,,12.07.2016,01.07.2016,,,12.07.2016,1,"42486,858611111"
NORDENHUNTER AS,120,396545_lsd,Internet,finalize access,32747745,14.04.2016,,14.04.2016,20.04.2016,19.04.2016,,,20.04.2016,1,"42486,858611111"
RIIS MONTASJE AS,121,401425_lsd,Internet,finalize access,63499202,02.05.2016,,02.05.2016,07.06.2016,27.05.2016,,,07.06.2016,1,"42486,858611111"
Clear Channel Norway AS,9,5503855_lsd,Internet,finalize access,63497932,06.05.2016,,09.05.2016,06.06.2016,26.05.2016,,,06.06.2016,1,"42486,858611111"
Din Utvikling AS,122,5503880_lsd,Internet,plan & design,32745177,11.05.2016,,,28.06.2016,17.06.2016,,,28.06.2016,1,"42486,858611111"
BS GARN AS,123,5503924_lsd,Internet,finalize access,32744711,16.05.2016,,18.05.2016,10.06.2016,01.06.2016,,,10.06.2016,1,"42486,858611111"
Norsk Luthersk Misjonssamband,19,5503921_lsd,Internet,finalize access,63495830,18.05.2016,,,15.06.2016,06.06.2016,,,15.06.2016,1,"42486,858611111"
